"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"1024","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","221","265","83.40%","36","61","59.02%","15","20","75.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1025","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","290","313","92.65%","33","38","86.84%","12","15","80.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1026","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","376","395","95.19%","28","28","100.00%","3","3","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1027","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","282","282","100.00%","17","17","100.00%","13","13","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1028","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","580","753","77.03%","79","103","76.70%","50","51","98.04%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1029","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","331","351","94.30%","20","20","100.00%","13","13","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1030","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","192","273","70%","1","1","100%","1","1","100%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1031","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","715","778","91.90%","188","191","98.43%","147","150","98.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1032","","Total ","25,220","31,574","79.88%","4,455","5,060","88.04%","2,149","2,269","94.71%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1033","","","","","","","","","","",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1034","","","","","","","","","","",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1035","","","","","","","","","","",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1036","","","","","","","","","","",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1037","","","","","","","","","","",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1038","","","","","","","","","","",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1039","","","","","","","","","","",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1040","Non-Foundation Trusts",""," October 2013 ","","","","","","","",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1041","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases further assessed"," Number of cases referred "," Number of cases with positive or inconclusive diagnostic assessment ","Percentage of cases referred"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1042","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","763","945","80.74%","28","31","90.32%","28","31","90.32%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1043","BARNET AND CHASE FARM HOSPITALS NHS TRUST","RVL","298","565","52.74%","16","48","33.33%","4","4","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1044","BARTS HEALTH NHS TRUST","R1H","589","936","62.93%","213","234","91.03%","36","203","17.73%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1045","BEDFORD HOSPITAL NHS TRUST","RC1","204","226","90.27%","4","4","100.00%","1","1","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1046","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","252","270","93.33%","61","61","100.00%","53","53","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1047","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","306","338","90.53%","276","306","90.20%","253","276","91.67%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1048","CROYDON HEALTH SERVICES NHS TRUST","RJ6","22","389","5.66%","1","7","14.29%","1","1","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1049","DARTFORD AND GRAVESHAM NHS TRUST","RN7","203","214","94.86%","17","17","100.00%","7","7","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1050","EALING HOSPITAL NHS TRUST","RC3","137","137","100.00%","3","3","100.00%","1","1","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1051","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","141","145","97.24%","32","32","100.00%","276","277","99.64%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1052","EAST CHESHIRE NHS TRUST","RJN","260","287","90.59%","26","35","74.29%","14","15","93.33%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1053","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","524","546","95.97%","127","132","96.21%","35","35","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1054","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","453","496","91.33%","65","70","92.86%","36","38","94.74%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1055","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","253","430","58.84%","58","58","100.00%","18","27","66.67%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1056","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","213","226","94.25%","12","12","100.00%","3","3","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1057","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","157","198","79.29%","21","21","100.00%","16","16","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1058","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","488","535","91.21%","46","46","100.00%","39","41","95.12%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1059","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","397","399","99.50%","232","233","99.57%","40","40","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1060","IPSWICH HOSPITAL NHS TRUST","RGQ","477","480","99.38%","58","60","96.67%","46","46","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1061","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1062","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","846","892","94.84%","77","80","96.25%","67","67","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1063","LEWISHAM AND GREENWICH NHS TRUST","RJ2","486","498","97.59%","90","90","100.00%","40","41","97.56%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1064","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","458","464","98.71%","52","52","100.00%","33","33","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1065","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","219","242","90.50%","23","25","92.00%","16","17","94.12%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1066","NORTH BRISTOL NHS TRUST","RVJ","557","599","92.99%","22","30","73.33%","15","28","53.57%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1067","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","-","-","","-","-","","-","-",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1068","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","343","372","92.20%","167","186","89.78%","1","1","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1069","NORTH WEST LONDON HOSPITALS NHS TRUST","RV8","158","224","70.54%","13","13","100.00%","3","4","75.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1070","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","273","361","75.62%","12","12","100.00%","3","5","60.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1071","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","284","292","97.26%","49","51","96.08%","16","16","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1072","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1073","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","405","666","60.81%","380","389","97.69%","125","125","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1074","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","481","685","70.22%","48","69","69.57%","9","9","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1075","PORTSMOUTH HOSPITALS NHS TRUST","RHU","656","700","93.71%","101","103","98.06%","91","91","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1076","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","50","376","13.30%","11","11","100.00%","4","4","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1077","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","313","440","71.14%","23","76","30.26%","8","14","57.14%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1078","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","619","662","93.50%","0","0","","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1079","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","48","75","64.00%","13","13","100.00%","6","6","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1080","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","509","520","97.88%","21","21","100.00%","8","8","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1081","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","57","375","15.20%","3","7","42.86%","0","0",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1082","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","294","325","90.46%","49","49","100.00%","9","9","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1083","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","511","538","94.98%","68","71","95.77%","68","68","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1084","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","245","403","60.79%","16","16","100.00%","43","142","30.28%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1085","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","454","454","100.00%","22","23","95.65%","19","19","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1086","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","170","177","96.05%","28","28","100.00%","12","12","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1087","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","702","779","90.12%","397","530","74.91%","43","43","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1088","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE","796","796","100.00%","482","482","100.00%","25","25","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1089","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","449","473","94.93%","69","69","100.00%","67","67","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1090","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","901","996","90.46%","331","333","99.40%","72","72","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1091","WALSALL HEALTHCARE NHS TRUST","RBK","427","447","95.53%","128","128","100.00%","13","14","92.86%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1092","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","556","564","98.58%","31","32","96.88%","15","15","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1093","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","220","244","90.16%","18","20","90.00%","10","10","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1094","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN","","NIL RETURN","NIL RETURN",""," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1095","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","233","744","31.32%","34","43","79.07%","42","42","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1096","WYE VALLEY NHS TRUST","RLQ","159","176","90.34%","1","1","100.00%","1","1","100.00%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1097","","Total ","19,016","23,321","81.54%","4,075","4,463","91.31%","1,791","2,123","84.36%"," October 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1098","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","231","397","58.19%","16","31","51.61%","5","5","100.00%"," November 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1099","AIREDALE NHS FOUNDATION TRUST","RCF","222","246","90.24%","37","41","90.24%","4","4","100.00%"," November 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1100","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","309","309","100.00%","55","55","100.00%","34","34","100.00%"," November 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
"1101","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","280","383","73.11%","-","-","","-","-",""," November 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q3-2013-14-REVISED-CSV-38KB.csv"
