"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"888","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","292","318","92%","5","5","100%","1","1","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"889","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","272","415","66%","70","70","100%","7","7","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"890","THE CHRISTIE NHS FOUNDATION TRUST","RBV","28","29","97%","1","1","100%","1","1","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"891","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","7","7","100%","1","1","100%","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"892","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","338","494","68%","89","89","100%","41","42","98%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"893","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","109","176","62%","13","19","68%","11","11","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"894","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","466","517","90%","42","45","93%","27","30","90%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"895","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","243","269","90%","40","40","100%","40","40","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"896","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","1","1","100%","0","0","-","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"897","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","264","278","95%","72","78","92%","2","4","50%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"898","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","433","543","80%","30","72","42%","9","14","64%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"899","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","21","21","100%","0","0","-","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"900","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","8","8","100%","0","0","-","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"901","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","5","5","100%","0","0","-","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"902","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","109","109","100%","6","6","100%","6","6","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"903","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","265","268","99%","46","46","100%","41","41","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"904","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","539","547","99%","123","123","100%","47","47","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"905","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","497","512","97%","27","27","100%","6","6","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"906","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","225","338","67%","62","71","87%","23","64","36%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"907","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","329","351","94%","11","49","22%","5","6","83%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"908","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","295","318","93%","32","33","97%","4","4","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"909","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","291","316","92%","12","12","100%","10","10","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"910","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","631","694","91%","60","65","92%","29","29","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"911","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","601","613","98%","182","190","96%","37","39","95%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"912","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","232","320","73%","17","17","100%","15","15","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"913","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","121","265","46%","1","1","100%","1","1","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"914","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","726","757","96%","116","116","100%","91","91","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"915","","Total "," 29,367 "," 32,376 ","90.7%"," 5,900 "," 6,201 ","95.1%"," 2,456 "," 2,539 ","96.7%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"916","","","","","","","","","","",""," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"917","Non-Foundation Trusts",""," September 2014 ","","","","","","","",""," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"918","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases with diagnostic assessment","Number of cases referred","Number of cases with positive or inconclusive diagnostic assessment","Percentage of cases referred"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"919","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","575","813","71%","74","113","65%","52","73","71%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"920","BARTS HEALTH NHS TRUST","R1H","390","556","70%","85","98","87%","60","63","95%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"921","BEDFORD HOSPITAL NHS TRUST","RC1","213","234","91%","33","33","100%","15","16","94%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"922","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","124","137","91%","33","33","100%","31","31","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"923","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","293","321","91%","88","88","100%","80","80","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"924","CROYDON HEALTH SERVICES NHS TRUST","RJ6","281","291","97%","42","46","91%","35","35","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"925","DARTFORD AND GRAVESHAM NHS TRUST","RN7","163","178","92%","27","27","100%","16","16","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"926","EALING HOSPITAL NHS TRUST","RC3","71","86","83%","4","8","50%","1","1","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"927","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","341","342","100%","133","139","96%","53","61","87%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"928","EAST CHESHIRE NHS TRUST","RJN","228","238","96%","26","34","76%","19","19","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"929","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","503","542","93%","110","116","95%","23","23","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"930","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","348","386","90%","66","66","100%","36","50","72%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"931","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","338","374","90%","65","68","96%","39","39","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"932","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","182","192","95%","27","28","96%","2","2","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"933","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","179","179","100%","29","29","100%","16","16","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"934","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","474","526","90%","49","50","98%","37","41","90%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"935","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","285","315","90%","183","201","91%","25","26","96%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"936","IPSWICH HOSPITAL NHS TRUST","RGQ","358","359","100%","53","54","98%","52","52","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"937","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"938","KINGSTON HOSPITAL NHS TRUST","RAX","193","298","65%","19","71","27%","18","19","95%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"939","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","544","544","100%","69","69","100%","46","46","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"940","LEWISHAM AND GREENWICH NHS TRUST","RJ2","468","468","100%","114","114","100%","75","75","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"941","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","515","519","99%","74","74","100%","59","59","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"942","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","332","346","96%","18","20","90%","9","10","90%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"943","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","488","494","99%","165","165","100%","107","108","99%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"944","NORTH BRISTOL NHS TRUST","RVJ","476","513","93%","25","30","83%","18","25","72%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"945","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","289","630","46%","186","190","98%","9","9","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"946","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","593","658","90%","301","329","91%","2","2","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"947","NORTH WEST LONDON HOSPITALS NHS TRUST","RV8","266","365","73%","19","41","46%","6","6","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"948","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","360","399","90%","34","34","100%","10","11","91%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"949","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","294","294","100%","39","39","100%","5","5","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"950","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","938","1353","69%","89","89","100%","47","47","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"951","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","375","558","67%","303","323","94%","127","130","98%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"952","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","513","527","97%","64","71","90%","31","31","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"953","PORTSMOUTH HOSPITALS NHS TRUST","RHU","601","631","95%","98","98","100%","87","87","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"954","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","357","371","96%","60","60","100%","13","13","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"955","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","317","468","68%","34","76","45%","24","26","92%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"956","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","1","1","100%","0","0","-","0","0","-"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"957","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","595","639","93%","62","67","93%","9","9","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"958","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","160","160","100%","21","21","100%","11","11","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"959","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","504","543","93%","42","42","100%","9","9","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"960","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","118","263","45%","7","30","23%","2","2","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"961","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","329","340","97%","42","42","100%","8","9","89%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"962","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","482","535","90%","83","87","95%","83","83","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"963","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","336","342","98%","228","228","100%","35","39","90%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"964","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","437","437","100%","24","24","100%","22","22","100%"," September 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
